ts,fuel,mw
2026-09-19 16:05:00,nuclear,28727.949
2026-09-19 16:05:00,bituminous_coal,23621.218
2026-09-19 16:05:00,lng,15994.573
2026-09-19 16:05:00,renewable,5049.863
2026-09-19 16:05:00,hydro,864.396
2026-09-19 16:05:00,oil,292.092
2026-09-19 16:05:00,anthracite,93.596
2026-09-19 16:05:00,solar,6343.513
2026-09-19 16:05:00,pumped,2440.075
2026-09-19 16:10:00,nuclear,28686.135
2026-09-19 16:10:00,bituminous_coal,23571.095
2026-09-19 16:10:00,lng,15976.377
2026-09-19 16:10:00,renewable,5099.454
2026-09-19 16:10:00,hydro,880.024
2026-09-19 16:10:00,oil,249.181
2026-09-19 16:10:00,anthracite,125.957
2026-09-19 16:10:00,solar,6228.247
2026-09-19 16:10:00,pumped,2430.575
2026-09-19 16:15:00,nuclear,28612.633
2026-09-19 16:15:00,bituminous_coal,23529.562
2026-09-19 16:15:00,lng,16005.882
2026-09-19 16:15:00,renewable,5041.947
2026-09-19 16:15:00,hydro,837.041
2026-09-19 16:15:00,oil,251.078
2026-09-19 16:15:00,anthracite,43.271
2026-09-19 16:15:00,solar,6111.207
2026-09-19 16:15:00,pumped,2420.395
2026-09-19 16:20:00,nuclear,28638.441
2026-09-19 16:20:00,bituminous_coal,23528.429
2026-09-19 16:20:00,lng,15988.86
2026-09-19 16:20:00,renewable,5069.761
2026-09-19 16:20:00,hydro,879.648
2026-09-19 16:20:00,oil,287.775
2026-09-19 16:20:00,anthracite,53.57
2026-09-19 16:20:00,solar,5992.447
2026-09-19 16:20:00,pumped,2409.539
2026-09-19 16:25:00,nuclear,28535.617
2026-09-19 16:25:00,bituminous_coal,23550.816
2026-09-19 16:25:00,lng,15980.998
2026-09-19 16:25:00,renewable,5047.919
2026-09-19 16:25:00,hydro,858.635
2026-09-19 16:25:00,oil,241.103
2026-09-19 16:25:00,anthracite,92.892
2026-09-19 16:25:00,solar,5872.026
2026-09-19 16:25:00,pumped,2398.012
2026-09-19 16:30:00,nuclear,28470.781
2026-09-19 16:30:00,bituminous_coal,23501.676
2026-09-19 16:30:00,lng,15954.339
2026-09-19 16:30:00,renewable,5066.323
2026-09-19 16:30:00,hydro,873.99
2026-09-19 16:30:00,oil,215.336
2026-09-19 16:30:00,anthracite,38.476
2026-09-19 16:30:00,solar,5750.0
2026-09-19 16:30:00,pumped,2385.819
2026-09-19 16:35:00,nuclear,28447.677
2026-09-19 16:35:00,bituminous_coal,23467.258
2026-09-19 16:35:00,lng,15924.596
2026-09-19 16:35:00,renewable,5062.098
2026-09-19 16:35:00,hydro,869.901
2026-09-19 16:35:00,oil,287.145
2026-09-19 16:35:00,anthracite,67.56
2026-09-19 16:35:00,solar,5626.427
2026-09-19 16:35:00,pumped,2372.967
2026-09-19 16:40:00,nuclear,28408.526
2026-09-19 16:40:00,bituminous_coal,23420.463
2026-09-19 16:40:00,lng,15840.94
2026-09-19 16:40:00,renewable,5017.913
2026-09-19 16:40:00,hydro,831.473
2026-09-19 16:40:00,oil,292.486
2026-09-19 16:40:00,anthracite,113.955
2026-09-19 16:40:00,solar,5501.366
2026-09-19 16:40:00,pumped,2359.462
2026-09-19 16:45:00,nuclear,28353.985
2026-09-19 16:45:00,bituminous_coal,23387.3
2026-09-19 16:45:00,lng,15835.075
2026-09-19 16:45:00,renewable,4978.238
2026-09-19 16:45:00,hydro,874.274
2026-09-19 16:45:00,oil,237.141
2026-09-19 16:45:00,anthracite,94.874
2026-09-19 16:45:00,solar,5374.876
2026-09-19 16:45:00,pumped,2345.309
2026-09-19 16:50:00,nuclear,28300.096
2026-09-19 16:50:00,bituminous_coal,23364.531
2026-09-19 16:50:00,lng,15839.852
2026-09-19 16:50:00,renewable,5022.521
2026-09-19 16:50:00,hydro,803.179
2026-09-19 16:50:00,oil,236.109
2026-09-19 16:50:00,anthracite,116.731
2026-09-19 16:50:00,solar,5247.019
2026-09-19 16:50:00,pumped,2330.516
2026-09-19 16:55:00,nuclear,28225.083
2026-09-19 16:55:00,bituminous_coal,23240.176
2026-09-19 16:55:00,lng,15755.868
2026-09-19 16:55:00,renewable,5004.918
2026-09-19 16:55:00,hydro,789.656
2026-09-19 16:55:00,oil,249.726
2026-09-19 16:55:00,anthracite,33.267
2026-09-19 16:55:00,solar,5117.853
2026-09-19 16:55:00,pumped,2315.09
2026-09-19 17:00:00,nuclear,28260.887
2026-09-19 17:00:00,bituminous_coal,23259.188
2026-09-19 17:00:00,lng,15801.513
2026-09-19 17:00:00,renewable,4958.894
2026-09-19 17:00:00,hydro,819.615
2026-09-19 17:00:00,oil,246.413
2026-09-19 17:00:00,anthracite,72.264
2026-09-19 17:00:00,solar,4987.442
2026-09-19 17:00:00,pumped,2299.038
