ts,smp_won_per_kwh
2026-09-19 17:00:00,158.8
2026-09-19 18:00:00,154.24
2026-09-19 19:00:00,147.42
2026-09-19 20:00:00,140.33
2026-09-19 21:00:00,126.79
2026-09-19 22:00:00,118.07
2026-09-19 23:00:00,111.81
2026-09-20 00:00:00,100.39
2026-09-20 01:00:00,93.9
2026-09-20 02:00:00,90.75
2026-09-20 03:00:00,89.16
2026-09-20 04:00:00,95.33
2026-09-20 05:00:00,96.81
2026-09-20 06:00:00,99.75
2026-09-20 07:00:00,108.75
2026-09-20 08:00:00,116.18
2026-09-20 09:00:00,129.53
2026-09-20 10:00:00,135.89
2026-09-20 11:00:00,147.21
2026-09-20 12:00:00,153.58
2026-09-20 13:00:00,158.74
2026-09-20 14:00:00,166.09
2026-09-20 15:00:00,167.66
2026-09-20 16:00:00,162.42
2026-09-20 17:00:00,158.26
2026-09-20 18:00:00,152.84
2026-09-20 19:00:00,147.13
2026-09-20 20:00:00,137.64
2026-09-20 21:00:00,127.35
2026-09-20 22:00:00,119.16
2026-09-20 23:00:00,112.0
2026-09-21 00:00:00,100.06
2026-09-21 01:00:00,95.81
2026-09-21 02:00:00,92.13
2026-09-21 03:00:00,90.42
2026-09-21 04:00:00,91.57
2026-09-21 05:00:00,94.44
2026-09-21 06:00:00,103.33
2026-09-21 07:00:00,112.03
2026-09-21 08:00:00,116.13
2026-09-21 09:00:00,127.99
2026-09-21 10:00:00,136.89
2026-09-21 11:00:00,147.89
2026-09-21 12:00:00,156.89
2026-09-21 13:00:00,162.83
2026-09-21 14:00:00,161.72
2026-09-21 15:00:00,166.58
2026-09-21 16:00:00,161.74
2026-09-21 17:00:00,157.63
2026-09-21 18:00:00,154.28
2026-09-21 19:00:00,146.38
2026-09-21 20:00:00,140.54
2026-09-21 21:00:00,126.83
2026-09-21 22:00:00,121.76
2026-09-21 23:00:00,107.49
2026-09-22 00:00:00,104.86
2026-09-22 01:00:00,96.58
2026-09-22 02:00:00,95.1
2026-09-22 03:00:00,89.44
2026-09-22 04:00:00,91.09
2026-09-22 05:00:00,95.77
2026-09-22 06:00:00,100.63
2026-09-22 07:00:00,109.69
2026-09-22 08:00:00,117.35
2026-09-22 09:00:00,128.03
2026-09-22 10:00:00,138.66
2026-09-22 11:00:00,146.09
2026-09-22 12:00:00,154.94
2026-09-22 13:00:00,158.54
2026-09-22 14:00:00,105.77
2026-09-22 15:00:00,105.6
2026-09-22 16:00:00,127.0
