observed_at,station_id,wind_speed_ms,temperature_c,humidity_pct,solar_radiation_mj
2026-09-19 17:00:00,108,3.8,28.9,39.0,1.68
2026-09-19 18:00:00,108,3.7,28.4,41.0,1.1
2026-09-19 19:00:00,108,4.2,27.2,44.0,0.5
2026-09-19 20:00:00,108,3.0,24.8,47.0,
2026-09-19 21:00:00,108,2.7,23.9,52.0,
2026-09-19 22:00:00,108,2.9,21.9,57.0,
2026-09-19 23:00:00,108,2.3,21.7,62.0,
2026-09-20 00:00:00,108,2.3,20.5,66.0,
2026-09-20 01:00:00,108,0.9,18.5,70.0,
2026-09-20 02:00:00,108,1.4,19.1,73.0,
2026-09-20 03:00:00,108,0.9,19.0,75.0,
2026-09-20 04:00:00,108,1.6,18.2,76.0,
2026-09-20 05:00:00,108,1.3,19.2,75.0,
2026-09-20 06:00:00,108,1.5,20.7,73.0,0.5
2026-09-20 07:00:00,108,2.5,20.9,70.0,1.1
2026-09-20 08:00:00,108,2.3,22.3,66.0,1.68
2026-09-20 09:00:00,108,2.7,24.1,62.0,2.2
2026-09-20 10:00:00,108,3.1,24.8,57.0,2.62
2026-09-20 11:00:00,108,3.5,26.6,52.0,2.92
2026-09-20 12:00:00,108,3.9,27.4,48.0,3.08
2026-09-20 13:00:00,108,4.3,28.9,44.0,3.08
2026-09-20 14:00:00,108,4.0,28.8,41.0,2.92
2026-09-20 15:00:00,108,4.3,29.2,39.0,2.62
2026-09-20 16:00:00,108,4.1,29.4,38.0,2.2
2026-09-20 17:00:00,108,4.9,28.6,39.0,1.68
2026-09-20 18:00:00,108,4.2,27.2,41.0,1.1
2026-09-20 19:00:00,108,4.0,26.5,44.0,0.5
2026-09-20 20:00:00,108,3.6,24.8,47.0,
2026-09-20 21:00:00,108,2.8,24.3,52.0,
2026-09-20 22:00:00,108,2.1,22.6,57.0,
2026-09-20 23:00:00,108,2.2,21.7,62.0,
2026-09-21 00:00:00,108,1.8,19.3,66.0,
2026-09-21 01:00:00,108,1.9,19.4,70.0,
2026-09-21 02:00:00,108,0.9,18.5,73.0,
2026-09-21 03:00:00,108,1.1,17.9,75.0,
2026-09-21 04:00:00,108,1.0,18.3,76.0,
2026-09-21 05:00:00,108,2.0,18.7,75.0,
2026-09-21 06:00:00,108,1.4,19.3,73.0,0.5
2026-09-21 07:00:00,108,2.2,21.6,70.0,1.1
2026-09-21 08:00:00,108,2.1,22.4,66.0,1.68
2026-09-21 09:00:00,108,3.3,24.5,62.0,2.2
2026-09-21 10:00:00,108,2.8,25.8,57.0,2.62
2026-09-21 11:00:00,108,3.2,27.1,52.0,2.92
2026-09-21 12:00:00,108,3.7,27.4,48.0,3.08
2026-09-21 13:00:00,108,3.8,27.8,44.0,3.08
2026-09-21 14:00:00,108,5.0,28.3,41.0,2.92
2026-09-21 15:00:00,108,5.0,29.2,39.0,2.62
2026-09-21 16:00:00,108,4.8,28.2,38.0,2.2
2026-09-21 17:00:00,108,4.5,27.9,39.0,1.68
2026-09-21 18:00:00,108,3.9,27.0,41.0,1.1
2026-09-21 19:00:00,108,3.8,26.2,44.0,0.5
2026-09-21 20:00:00,108,3.0,25.9,47.0,
2026-09-21 21:00:00,108,3.3,23.4,52.0,
2026-09-21 22:00:00,108,2.1,22.0,57.0,
2026-09-21 23:00:00,108,1.8,21.8,62.0,
2026-09-22 00:00:00,108,1.3,19.9,66.0,
2026-09-22 01:00:00,108,1.9,19.8,70.0,
2026-09-22 02:00:00,108,1.4,18.7,73.0,
2026-09-22 03:00:00,108,0.9,18.6,75.0,
2026-09-22 04:00:00,108,1.5,18.6,76.0,
2026-09-22 05:00:00,108,1.3,18.8,75.0,
2026-09-22 06:00:00,108,1.8,20.0,73.0,0.5
2026-09-22 07:00:00,108,1.6,21.5,70.0,1.1
2026-09-22 08:00:00,108,2.3,23.0,66.0,1.68
2026-09-22 09:00:00,108,3.2,23.7,62.0,2.2
2026-09-22 10:00:00,108,3.2,25.6,57.0,2.62
2026-09-22 11:00:00,108,3.8,26.3,52.0,2.92
2026-09-22 12:00:00,108,4.2,27.8,48.0,3.08
2026-09-22 13:00:00,108,4.9,29.2,44.0,3.08
2026-09-22 14:00:00,108,1.4,29.6,36.0,2.84
2026-09-22 15:00:00,108,2.1,29.1,36.0,1.98
